Year,employment_by_thosands,percent_change
2000,3781.5125000000003,
2001,3710.5791666666664,-1.87579264469796
2002,3654.8333333333335,-1.5023485776591405
2003,3622.241666666667,-0.8917415294815045
2004,3632.933333333334,0.2951671271703482
2005,3648.7916666666665,0.4365159467097035
2006,3645.558333333333,-0.08861381050805361
2007,3636.395833333334,-0.25133324342175856
2008,3582.7041666666664,-1.4765077600875642
2009,3374.7208333333333,-5.805205332564201
2010,3366.0479166666664,-0.2569965663826612
2011,3423.7083333333335,1.7130004710024238
2012,3488.722916666667,1.8989521595735637
2013,3537.4541666666664,1.3968220223852024
2014,3591.7187500000005,1.534001029459775
2015,3647.99375,1.5667986253099508
2016,3697.7749999999996,1.364619936643252
2017,3732.8666666666663,0.9489941023092641
2018,3764.714583333333,0.8531758434090042
2019,3785.795833333333,0.5599694089248652
2020,3533.2833333333333,-6.669997831807706
